id,income
37001020100,32911
37001020200,24942
37001020300,33269
37001020400,29741
37001020501,33326
37001020502,32139
37001020601,82837
37001020602,50242
37001020701,49708
37001020702,32865
37001020801,37500
37001020802,23759
37001020901,38281
37001020902,60848
37001021000,22579
37001021101,37975
37001021102,34261
37001021201,31658
37001021204,48750
37001021205,50519
37001021206,47109
37001021207,50068
37001021300,46984
37001021400,44414
37001021500,54674
37001021600,45000
37001021701,75701
37001021702,65203
37001021703,50385
37001021801,51449
37001021802,38559
37001021803,45761
37001021901,45515
37001021902,52358
37001022001,54246
37001022002,52939
37003040100,37750
37003040200,38897
37003040300,37727
37003040400,36546
37003040500,33909
37003040600,45819
37003040700,57783
37005950100,42414
37005950200,28526
37005950300,40507
37007920100,35750
37007920200,31851
37007920300,43069
37007920400,31711
37007920500,29262
37007920600,28554
37009970200,31786
37009970300,31071
37009970400,31884
37009970500,33680
37009970700,52631
37009970800,37701
37011930100,49205
37011930200,37583
37011930301,36964
37011930302,29200
37011930400,40094
37013930100,34132
37013930200,48594
37013930300,29309
37013930400,29533
37013930501,53682
37013930502,44906
37013930600,44426
37013930700,41520
37013930800,44920
37013930900,53582
37013931000,37188
37015960100,31626
37015960200,35208
37015960300,26612
37015960400,28418
37017950100,35738
37017950200,37640
37017950300,26130
37017950400,24942
37017950500,32284
37017950600,28517
37019020101,43553
37019020102,43170
37019020103,57018
37019020104,43844
37019020201,58227
37019020202,64484
37019020203,52892
37019020204,40720
37019020303,44441
37019020304,74894
37019020305,50814
37019020306,42941
37019020307,101250
37019020308,52827
37019020309,53469
37019020310,46729
37019020402,58511
37019020403,29194
37019020404,26606
37019020405,32391
37019020504,59000
37019020505,33014
37019020506,40482
37019020507,48117
37019020508,68292
37019020509,50444
37019020510,34192
37019020511,46970
37019020512,61719
37019020601,35853
37019020602,40447
37019020603,38382
37019990100,21845
37021000100,37539
37021000200,35435
37021000300,37774
37021000400,62750
37021000500,42727
37021000600,33630
37021000700,53068
37021000800,16673
37021000900,45000
37021001000,46103
37021001100,47310
37021001200,36875
37021001300,35671
37021001400,35077
37021001500,49517
